"Time, hr",Compound A,Compound B,Compound C,Compound D,Compound E,Compound F,Compound G,Compound H,Compound I
0.01,-0.018531819138838806,-0.6629177094383804,0.7958269007765867,1.1723536975548305,-0.20765537586959973,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
0.11,1.59251435887941,-0.8626548859605558,0.7958269007765867,1.1723536975548305,-0.20845129707248716,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
0.21,2.810614904458087,-0.9031123344247068,0.7958269007765867,1.1723536975548305,-0.2091202998385642,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
0.31,2.531381381213642,-0.9128973150767533,0.7958269007765867,1.1723536975548305,-0.2091198421506106,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
0.41,1.833041027292926,-0.9151299872579394,0.7958270818659027,1.1723536975548305,-0.20803995582716203,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
0.51,1.3660969007009545,-0.915744154791896,0.7958270818659027,1.1723536975548305,-0.20725411453849527,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
0.61,1.2170980079410083,-0.9158210612059587,0.7958270818659027,1.1723538829085796,-0.2076060179833172,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
0.71,1.1762044440326924,-0.9158317129350142,0.7958270818659027,1.1723538829085796,-0.207983108086822,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
0.81,1.1058866134198735,-0.9158350014819323,0.7958270818659027,1.1723538829085796,-0.20825517675936733,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
0.91,0.9990486370535073,-0.9158382900288502,0.7958270818659027,1.1723538829085796,-0.20846172483219774,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.01,0.8912427465285372,-0.9158415785757683,0.7958270818659027,1.1723538829085796,-0.2086321630382677,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.11,0.8075424505923862,-0.9158448671226863,0.7958270818659027,1.1723538829085796,-0.2087788106628673,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.21,0.7506896331659231,-0.9158481556696043,0.7958270818659027,1.1723538829085796,-0.2088970672840665,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.31,0.711814445437845,-0.9158514442165223,0.7958270818659027,1.1723538829085796,-0.20899383174924166,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.41,0.6815889788863332,-0.9158547327634403,0.7958270818659027,1.1723538829085796,-0.2090655459825867,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.51,0.6550409387033056,-0.9158580213103583,0.7958272629552182,1.172354068262329,-0.20911937599797592,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.61,0.6311943178024062,-0.9158613098572763,0.7958272629552182,1.172354068262329,-0.20916119053077104,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.71,0.610830893004049,-0.9158645984041943,0.7958272629552182,1.172354068262329,-0.20919529539232068,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.81,0.5946757906344102,-0.9158678869511124,0.7958272629552182,1.172354068262329,-0.20922255437688142,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
1.91,0.5818986763065961,-0.9158711754980303,0.7958272629552182,1.172354068262329,-0.2092446977181791,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
2.01,0.5711755470411064,-0.9158744640449484,0.7958272629552182,1.172354068262329,-0.20926072843549023,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
2.11,0.5617456676296738,-0.9158777525918664,0.7958272629552182,1.172354068262329,-0.209275230550425,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
2.21,0.5533759617531679,-0.9158810411387844,0.7958272629552182,1.172354068262329,-0.20928447067569575,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
2.31,0.5462444738220361,-0.9158843296857024,0.7958272629552182,1.172354068262329,-0.20929371047031492,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
2.41,0.540202293965723,-0.9158876182326204,0.7958272629552182,1.1723542536160783,-0.20929927169968268,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
2.51,0.5351684929067543,-0.9158909067795384,0.7958272629552182,1.1723542536160783,-0.20930442404527402,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
2.61,0.5309213244248457,-0.9158941953264564,0.7958272629552182,1.1723542536160783,-0.20930957639086537,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
2.71,0.5273410131893338,-0.9158974838733744,0.795827444044534,1.1723542536160783,-0.20931300485124169,1.6651014808715063,-1.3956466768120734,-0.498263405148558,-0.6021924628973819
