,Mean,STDEV.P
Compound A,0.3851066391194969,0.0617823383079169
Compound B,0.2544672352473794,2.149885702185868
Compound C,-0.02573821280223619,0.5522136941756987
Compound D,-0.0030617706219426936,0.5395089143669981
Compound E,3.0020958111565337,15.121656460887397
Compound F,-7.640055178197042e-05,0.015684640757218416
Compound G,0.0002851274792452827,0.013165632666583172
Compound H,0.000693357457721873,0.006592014231393486
Compound I,-0.0008402701821802935,0.006243306001756423
